# GrainSize_meters DifferentialFraction
2.00000000e-07 0.00000000e+00
2.19402660e-07 1.12043249e-02
2.40687636e-07 1.20040565e-02
2.64037538e-07 1.27045375e-02
2.89652691e-07 1.30377285e-02
3.17752854e-07 1.32950697e-02
3.48579108e-07 1.34391821e-02
3.82395917e-07 1.33370721e-02
4.19493407e-07 1.31517402e-02
4.60189847e-07 1.28954921e-02
5.04834383e-07 1.22731980e-02
5.53810032e-07 1.17961490e-02
6.07536971e-07 1.13090195e-02
6.66476137e-07 1.06910672e-02
7.31133187e-07 1.00790857e-02
8.02062830e-07 9.75324820e-03
8.79873593e-07 9.50358060e-03
9.65233034e-07 9.45260640e-03
1.05887348e-06 9.81454500e-03
1.16159829e-06 1.03506094e-02
1.27428877e-06 1.11130012e-02
1.39791173e-06 1.28592899e-02
1.53352776e-06 1.42930709e-02
1.68230035e-06 1.58011488e-02
1.84550585e-06 1.78715597e-02
2.02454447e-06 1.99768059e-02
2.22095221e-06 2.14045658e-02
2.43641411e-06 2.27379852e-02
2.67277869e-06 2.43219542e-02
2.93207377e-06 2.51325964e-02
3.21652392e-06 2.57051756e-02
3.52856952e-06 2.61672054e-02
3.87088769e-06 2.63504614e-02
4.24641528e-06 2.62246285e-02
4.65837404e-06 2.59987324e-02
5.11029828e-06 2.54630398e-02
5.60606519e-06 2.46793511e-02
6.14992807e-06 2.39548686e-02
6.74655289e-06 2.31668427e-02
7.40105825e-06 2.17578376e-02
8.11905933e-06 2.06839900e-02
8.90671608e-06 1.96449376e-02
9.77078600e-06 1.84034360e-02
1.07186822e-05 1.68024667e-02
1.17585369e-05 1.57168004e-02
1.28992714e-05 1.46484028e-02
1.41506723e-05 1.32448381e-02
1.55234757e-05 1.21071386e-02
1.70294593e-05 1.12654414e-02
1.86815434e-05 1.04733587e-02
2.04939015e-05 9.42137230e-03
2.24820826e-05 8.87242970e-03
2.46631436e-05 8.36822100e-03
2.70557965e-05 7.82488490e-03
2.96805686e-05 7.25939540e-03
3.25599785e-05 6.86955420e-03
3.57187295e-05 6.48169750e-03
3.91839214e-05 5.92330460e-03
4.29852829e-05 5.44250310e-03
4.71554270e-05 5.03293500e-03
5.17301306e-05 4.60691210e-03
5.67486413e-05 3.95375540e-03
6.22540143e-05 3.54462190e-03
6.82934817e-05 3.13907670e-03
7.49188577e-05 2.63956250e-03
8.21869834e-05 2.11840350e-03
9.01602138e-05 1.75408670e-03
9.89069537e-05 1.40177310e-03
1.08502244e-04 9.34465200e-04
1.19028404e-04 6.30664300e-04
1.30575743e-04 3.41572200e-04
1.43243326e-04 8.00250000e-06
1.57139834e-04 3.94000000e-07
1.72384488e-04 0.00000000e+00
1.89108076e-04 0.00000000e+00
2.07454075e-04 0.00000000e+00
2.27579879e-04 0.00000000e+00
2.49658155e-04 0.00000000e+00
2.73878316e-04 0.00000000e+00
3.00448155e-04 0.00000000e+00
3.29595622e-04 2.49910000e-06
3.61570781e-04 8.13633000e-05
3.96647956e-04 2.62766800e-04
4.35128084e-04 1.35791420e-03
4.77341295e-04 2.26379020e-03
5.23649749e-04 3.21457150e-03
5.74450739e-04 4.57183380e-03
6.30180102e-04 5.58331810e-03
6.91315953e-04 6.06811530e-03
7.58382795e-04 6.35820380e-03
8.31956013e-04 5.88176690e-03
9.12666811e-04 4.95410570e-03
1.00120763e-03 3.87411060e-03
1.09833809e-03 2.31271160e-03
1.20489149e-03 2.50979300e-04
1.32178199e-03 0.00000000e+00
1.45001242e-03 0.00000000e+00
1.59068291e-03 0.00000000e+00
1.74500031e-03 0.00000000e+00
1.91428855e-03 0.00000000e+00
2.10000000e-03 0.00000000e+00
