# GrainSize_meters DifferentialPercent
2.00000000e-07 0.00000000e+00
2.19402660e-07 0.00000000e+00
2.40687636e-07 0.00000000e+00
2.64037538e-07 0.00000000e+00
2.89652691e-07 0.00000000e+00
3.17752854e-07 0.00000000e+00
3.48579108e-07 0.00000000e+00
3.82395917e-07 0.00000000e+00
4.19493407e-07 0.00000000e+00
4.60189847e-07 0.00000000e+00
5.04834383e-07 5.33150000e-05
5.53810032e-07 3.94851715e-03
6.07536971e-07 9.96644055e-03
6.66476137e-07 2.15730633e-02
7.31133187e-07 4.26037992e-02
8.02062830e-07 6.34773096e-02
8.79873593e-07 8.68407307e-02
9.65233034e-07 1.26856747e-01
1.05887348e-06 1.57498442e-01
1.16159829e-06 1.78470142e-01
1.27428877e-06 1.95957422e-01
1.39791173e-06 1.94820130e-01
1.53352776e-06 1.75791500e-01
1.68230035e-06 1.29295152e-01
1.84550585e-06 1.74597985e-03
2.02454447e-06 3.02492200e-04
2.22095221e-06 0.00000000e+00
2.43641411e-06 0.00000000e+00
2.67277869e-06 0.00000000e+00
2.93207377e-06 0.00000000e+00
3.21652392e-06 0.00000000e+00
3.52856952e-06 0.00000000e+00
3.87088769e-06 6.86539450e-04
4.24641528e-06 2.67998932e-02
4.65837404e-06 4.90358418e-02
5.11029828e-06 5.51145752e-02
5.60606519e-06 5.85160625e-02
6.14992807e-06 5.99367453e-02
6.74655289e-06 6.06098299e-02
7.40105825e-06 5.82336809e-02
8.11905933e-06 5.29472901e-02
8.90671608e-06 3.62531298e-02
9.77078600e-06 7.01314050e-04
1.07186822e-05 6.76214000e-05
1.17585369e-05 0.00000000e+00
1.28992714e-05 0.00000000e+00
1.41506723e-05 0.00000000e+00
1.55234757e-05 0.00000000e+00
1.70294593e-05 0.00000000e+00
1.86815434e-05 8.05160000e-06
2.04939015e-05 8.01004750e-04
2.24820826e-05 5.62285702e-02
2.46631436e-05 1.59810565e-01
2.70557965e-05 3.70483505e-01
2.96805686e-05 8.46530537e-01
3.25599785e-05 1.32739646e+00
3.57187295e-05 1.87423507e+00
3.91839214e-05 2.83487198e+00
4.29852829e-05 3.75861250e+00
4.71554270e-05 4.54605421e+00
5.17301306e-05 5.36554790e+00
5.67486413e-05 6.48434159e+00
6.22540143e-05 7.01360192e+00
6.82934817e-05 7.44214238e+00
7.49188577e-05 7.76617341e+00
8.21869834e-05 7.70312318e+00
9.01602138e-05 7.43160221e+00
9.89069537e-05 7.04984894e+00
1.08502244e-04 6.17288818e+00
1.19028404e-04 5.30603751e+00
1.30575743e-04 4.51456052e+00
1.43243326e-04 3.63075310e+00
1.57139834e-04 2.44938940e+00
1.72384488e-04 1.79951021e+00
1.89108076e-04 1.21717941e+00
2.07454075e-04 6.25025504e-01
2.27579879e-04 2.76878361e-01
2.49658155e-04 1.16719929e-01
2.73878316e-04 1.13086045e-02
3.00448155e-04 1.75233000e-04
3.29595622e-04 5.63320000e-05
3.61570781e-04 0.00000000e+00
3.96647956e-04 0.00000000e+00
4.35128084e-04 0.00000000e+00
4.77341295e-04 0.00000000e+00
5.23649749e-04 0.00000000e+00
5.74450739e-04 0.00000000e+00
6.30180102e-04 0.00000000e+00
6.91315953e-04 0.00000000e+00
7.58382795e-04 0.00000000e+00
8.31956013e-04 0.00000000e+00
9.12666811e-04 0.00000000e+00
1.00120763e-03 0.00000000e+00
1.09833809e-03 0.00000000e+00
1.20489149e-03 0.00000000e+00
1.32178199e-03 0.00000000e+00
1.45001242e-03 0.00000000e+00
1.59068291e-03 0.00000000e+00
1.74500031e-03 0.00000000e+00
1.91428855e-03 0.00000000e+00
2.10000000e-03 0.00000000e+00
